Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,261.130005,262.250000,260.429993,261.429993,260.287476,1191900
2019-06-18,263.609985,264.200012,262.049988,262.739990,261.591736,2709500
2019-06-19,262.309998,264.100006,260.940002,263.660004,262.507721,1628400
2019-06-20,265.000000,267.790009,264.549988,267.350006,266.181641,1745100
2019-06-21,266.769989,268.940002,265.989990,266.130005,264.966949,2964000
2019-06-24,267.309998,267.970001,266.519989,266.769989,265.604156,1586100
2019-06-25,266.709991,267.079987,265.359985,266.359985,265.195923,1182400
2019-06-26,266.450012,266.820007,264.339996,264.410004,263.254456,1334400
2019-06-27,264.899994,266.480011,262.989990,265.579987,264.419342,1122900
2019-06-28,265.500000,266.390015,263.359985,264.260010,263.105133,1952500
2019-07-01,266.429993,267.000000,261.839996,263.549988,262.398193,1955800
2019-07-02,263.920013,265.570007,261.670013,265.470001,264.309845,1201300
2019-07-03,265.140015,269.160004,265.140015,269.140015,267.963806,986500
2019-07-05,268.200012,268.609985,266.269989,268.250000,267.077698,1081500
2019-07-08,268.329987,269.690002,267.350006,269.399994,268.222626,1236000
2019-07-09,269.359985,270.779999,268.489990,269.970001,268.790161,1400300
2019-07-10,270.049988,271.529999,269.339996,271.420013,270.233826,1257000
2019-07-11,272.329987,276.769989,271.809998,276.540009,275.331451,1985600
2019-07-12,276.500000,280.000000,276.010010,279.440002,278.218781,2046400
2019-07-15,279.940002,280.700012,278.899994,280.579987,279.353790,1568000
2019-07-16,281.000000,281.369995,279.779999,280.649994,279.423492,1379200
2019-07-17,281.049988,282.850006,280.220001,281.559998,280.329498,1716600
2019-07-18,282.200012,283.059998,279.190002,282.910004,281.673615,1696100
2019-07-19,283.070007,284.309998,281.350006,281.510010,280.279724,1607600
2019-07-22,281.220001,282.320007,279.320007,280.170013,278.945587,1459100
2019-07-23,281.850006,282.079987,279.019989,280.100006,278.875885,1117800
2019-07-24,279.829987,281.239990,279.010010,280.829987,279.602692,1257100
2019-07-25,281.200012,281.940002,279.339996,279.799988,278.577179,1600200
2019-07-26,279.799988,281.769989,279.119995,281.369995,280.140350,1447700
2019-07-29,281.010010,281.299988,279.540009,280.130005,278.905762,1257400
2019-07-30,280.269989,280.570007,279.100006,279.500000,278.278503,978200
2019-07-31,279.019989,279.720001,272.630005,275.630005,274.425446,1886900
2019-08-01,275.750000,280.929993,274.309998,274.570007,273.370056,2634300
2019-08-02,274.299988,274.940002,270.500000,272.500000,271.309113,1969200
2019-08-05,270.089996,270.549988,262.709991,265.100006,263.941437,3329800
2019-08-06,266.470001,270.230011,264.049988,269.309998,268.133057,2383000
2019-08-07,268.179993,274.859985,263.589996,274.299988,273.101227,3037500
2019-08-08,273.040009,274.839996,271.000000,274.799988,273.599060,2046700
2019-08-09,274.579987,275.470001,271.910004,273.940002,272.742828,1284300
2019-08-12,274.029999,274.980011,269.299988,271.309998,270.124298,1637300
2019-08-13,271.179993,278.160004,270.010010,276.260010,275.052673,1724600
2019-08-14,274.000000,275.359985,268.000000,268.149994,266.978119,2122100
2019-08-15,270.529999,272.970001,268.769989,271.519989,270.333374,1623200
2019-08-16,274.100006,276.070007,273.440002,274.100006,272.902100,1230800
2019-08-19,276.410004,277.380005,274.549988,275.609985,274.405487,1313400
2019-08-20,276.279999,276.359985,272.850006,272.970001,271.777039,1390600
2019-08-21,275.410004,276.540009,274.700012,275.679993,274.475189,1682300
2019-08-22,277.010010,280.989990,276.869995,279.920013,278.696686,2345500
2019-08-23,278.209991,280.130005,272.700012,274.010010,272.812531,1984300
2019-08-26,275.750000,278.529999,275.690002,278.459991,277.243042,1426400
2019-08-27,281.000000,293.440002,280.339996,292.380005,291.102234,5169000
2019-08-28,293.750000,299.950012,292.420013,294.489990,293.203003,5162100
2019-08-29,297.480011,297.730011,292.760010,296.570007,295.927094,2613100
2019-08-30,298.000000,298.279999,292.829987,294.760010,294.121033,1801000
2019-09-03,292.570007,294.000000,290.459991,292.049988,291.416870,1842900
2019-09-04,294.000000,296.299988,293.769989,296.119995,295.478058,1375700
2019-09-05,298.429993,299.709991,296.679993,296.970001,296.326233,1865300
2019-09-06,299.200012,304.640015,298.290009,303.760010,303.101501,3018100
2019-09-09,304.500000,307.339996,298.209991,299.000000,298.351807,3397200
2019-09-10,297.380005,298.250000,294.579987,297.000000,296.356171,2725000
2019-09-11,294.299988,295.739990,287.809998,290.690002,290.059845,4754700
2019-09-12,290.339996,292.750000,288.679993,289.890015,289.261597,2942600
2019-09-13,290.200012,294.070007,289.850006,291.899994,291.267212,2306300
2019-09-16,290.570007,291.380005,288.339996,288.690002,288.064178,1508900
2019-09-17,289.559998,291.790009,288.690002,291.410004,290.778290,1758900
2019-09-18,290.700012,293.570007,288.799988,292.429993,291.796051,1666000
2019-09-19,289.489990,289.760010,284.709991,287.829987,287.206024,3004700
2019-09-20,288.750000,289.410004,286.140015,286.359985,285.739197,3409500
2019-09-23,286.359985,288.130005,285.750000,287.570007,286.946594,2025400
2019-09-24,289.299988,292.619995,286.399994,287.910004,287.285858,2483200
2019-09-25,288.260010,289.679993,286.869995,288.510010,287.884583,1827800
2019-09-26,289.429993,289.809998,286.600006,288.260010,287.635101,1877300
2019-09-27,289.529999,289.529999,284.399994,285.950012,285.330109,1538100
2019-09-30,287.700012,288.619995,286.570007,288.109985,287.485413,2151500
2019-10-01,288.040009,288.679993,283.179993,283.929993,283.314484,2648900
2019-10-02,283.230011,285.790009,282.220001,285.109985,284.491913,2480600
2019-10-03,285.390015,290.859985,281.600006,289.000000,288.373505,3590200
2019-10-04,287.850006,291.950012,283.320007,291.670013,291.037720,4513300
2019-10-07,291.040009,295.690002,290.500000,293.410004,292.773956,1988700
2019-10-08,292.950012,295.579987,290.450012,291.890015,291.257263,2201100
2019-10-09,293.109985,298.570007,293.109985,296.899994,296.256378,2235500
2019-10-10,298.630005,299.480011,296.260010,297.140015,296.495880,1637500
2019-10-11,298.070007,300.760010,297.359985,297.600006,296.954865,1855500
2019-10-14,298.000000,300.339996,297.500000,297.519989,296.875031,1297600
2019-10-15,298.320007,299.640015,297.230011,298.390015,297.743164,1580700
2019-10-16,296.799988,298.970001,295.079987,298.779999,298.132294,1811100
2019-10-17,298.850006,302.609985,298.850006,302.399994,301.744446,1734600
2019-10-18,302.000000,304.000000,300.980011,302.859985,302.203430,1853900
2019-10-21,303.000000,303.510010,300.170013,301.079987,300.427307,1322900
2019-10-22,301.609985,304.880005,299.950012,299.970001,299.319733,1955600
2019-10-23,299.579987,300.049988,297.179993,297.320007,296.675476,1798700
2019-10-24,295.049988,298.279999,294.559998,297.049988,296.406036,2056700
2019-10-25,295.519989,297.250000,295.109985,296.500000,295.857239,1685900
2019-10-28,295.700012,299.089996,295.209991,298.940002,298.291962,1672600
2019-10-29,298.209991,298.940002,295.809998,295.859985,295.218628,1295300
2019-10-30,296.920013,300.250000,295.970001,299.839996,299.190002,1264000
2019-10-31,298.359985,299.619995,294.549988,297.109985,297.109985,2277400
2019-11-01,297.989990,298.420013,295.500000,296.089996,296.089996,1364300
2019-11-04,297.160004,298.220001,295.170013,296.820007,296.820007,1651600
2019-11-05,297.089996,299.690002,295.809998,299.179993,299.179993,2204500
2019-11-06,299.970001,301.649994,297.929993,301.570007,301.570007,1675000
2019-11-07,303.929993,307.100006,302.480011,305.209991,305.209991,2399400
2019-11-08,302.739990,304.290009,301.279999,302.619995,302.619995,1501600
2019-11-11,301.549988,302.329987,299.700012,300.839996,300.839996,1160900
2019-11-12,300.829987,302.730011,298.660004,300.500000,300.500000,1540800
2019-11-13,300.179993,304.000000,299.519989,302.899994,302.899994,1517900
2019-11-14,304.390015,305.890015,302.269989,304.589996,304.589996,1336400
2019-11-15,305.309998,305.440002,301.600006,303.660004,303.660004,1706100
2019-11-18,303.109985,306.380005,302.750000,304.540009,304.540009,1241300
2019-11-19,304.500000,304.640015,301.450012,302.239990,302.239990,1761400
2019-11-20,302.440002,303.170013,298.010010,300.570007,300.570007,1979500
2019-11-21,300.690002,301.869995,299.519989,300.269989,300.269989,1302500
2019-11-22,301.940002,301.940002,297.230011,299.309998,299.309998,1277300
2019-11-25,300.290009,300.630005,297.549988,299.049988,299.049988,1613000
2019-11-26,299.260010,301.350006,298.820007,301.239990,301.239990,3359100
2019-11-27,301.820007,302.790009,300.570007,300.760010,300.760010,1906500
2019-11-29,300.820007,300.890015,299.660004,299.809998,299.809998,981600
2019-12-02,299.750000,300.200012,294.269989,297.390015,297.390015,2705500
2019-12-03,295.130005,296.190002,292.700012,295.670013,295.670013,1921400
2019-12-04,296.040009,297.160004,295.149994,296.519989,296.519989,1742000
2019-12-05,297.130005,297.130005,292.500000,293.100006,293.100006,1941100
2019-12-06,294.980011,295.989990,294.260010,294.950012,294.950012,1462000
2019-12-09,295.000000,297.190002,294.549988,295.160004,295.160004,1960000
2019-12-10,296.029999,296.690002,294.549988,295.779999,295.779999,1565900
